sample_id,true_label,base_prediction,flipped_prediction,base_confidence,flipped_confidence,feature,original_value,flipped_value,feature_type,question_key,question_text,question_type,option_text,question_seen_count
sample_1188,3+,3+,7+,0.9924541821028022,0.7628618911727574,answer__q_6bdc905e3f72_Scary_elements_Learn_more,0,1,answer,q_6bdc905e3f72,Please select all that the game includes:,multi,Scary elements Learn more,276
sample_1236,7+,7+,18+,0.9998842970307439,0.3711254178489806,answer__q_6bdc905e3f72_Scary_elements_Learn_more,1,0,answer,q_6bdc905e3f72,Please select all that the game includes:,multi,Scary elements Learn more,276
sample_0027,7+,7+,12+,0.9999168434183237,0.539712215024278,answer__q_6bdc905e3f72_Scary_elements_Learn_more,1,0,answer,q_6bdc905e3f72,Please select all that the game includes:,multi,Scary elements Learn more,276
sample_0181,16+,16+,7+,0.5000948677385612,0.5095304150699362,answer__q_6bdc905e3f72_Scary_elements_Learn_more,0,1,answer,q_6bdc905e3f72,Please select all that the game includes:,multi,Scary elements Learn more,276
sample_1232,12+,12+,7+,0.9809239893734416,0.9957357258916806,answer__q_6bdc905e3f72_Scary_elements_Learn_more,0,1,answer,q_6bdc905e3f72,Please select all that the game includes:,multi,Scary elements Learn more,276
sample_1305,12+,12+,18+,0.9963013414867382,0.930355917096995,answer__q_a4d0a299c5a1_Yes,0,1,answer,q_a4d0a299c5a1,Is this the primary focus of the app?,single,Yes,136
sample_0112,12+,12+,18+,0.9976506853504311,0.9014543148655106,answer__q_a4d0a299c5a1_Yes,0,1,answer,q_a4d0a299c5a1,Is this the primary focus of the app?,single,Yes,136
sample_0444,12+,12+,3+,0.9879511592036864,0.6964425235885912,answer__q_a4d0a299c5a1_Yes,0,1,answer,q_a4d0a299c5a1,Is this the primary focus of the app?,single,Yes,136
sample_1256,12+,12+,18+,0.9962902038647914,0.9007629526004449,answer__q_a4d0a299c5a1_Yes,0,1,answer,q_a4d0a299c5a1,Is this the primary focus of the app?,single,Yes,136
sample_0794,12+,12+,3+,0.9937825011455191,0.5367521605994034,answer__q_a4d0a299c5a1_Yes,0,1,answer,q_a4d0a299c5a1,Is this the primary focus of the app?,single,Yes,136
sample_1288,7+,7+,12+,0.4036711817926366,0.4933330477089094,answer__q_fa879063695d_No,0,1,answer,q_fa879063695d,Is a significant portion of the app used to connect people for the purposes of dating or sexual relationships or endeavors?,single,No,250
sample_0693,12+,12+,18+,0.999270356100452,0.7642936211007302,answer__q_93e10cb84a82_Yes,0,1,answer,q_93e10cb84a82,"Does the app permit the public sharing of real-world, graphic violence outside of a newsworthy context?",single,Yes,250
sample_1305,12+,12+,18+,0.9963013414867382,0.974889620316825,answer__q_93e10cb84a82_Yes,0,1,answer,q_93e10cb84a82,"Does the app permit the public sharing of real-world, graphic violence outside of a newsworthy context?",single,Yes,250
sample_0104,12+,12+,18+,0.9992453364917894,0.7609308692628158,answer__q_93e10cb84a82_Yes,0,1,answer,q_93e10cb84a82,"Does the app permit the public sharing of real-world, graphic violence outside of a newsworthy context?",single,Yes,250
sample_0112,12+,12+,18+,0.9976506853504311,0.9746960340693686,answer__q_93e10cb84a82_Yes,0,1,answer,q_93e10cb84a82,"Does the app permit the public sharing of real-world, graphic violence outside of a newsworthy context?",single,Yes,250
sample_0444,12+,12+,3+,0.9879511592036864,0.6775007741165572,answer__q_93e10cb84a82_Yes,0,1,answer,q_93e10cb84a82,"Does the app permit the public sharing of real-world, graphic violence outside of a newsworthy context?",single,Yes,250
sample_0181,16+,16+,18+,0.5000948677385612,0.5039908199923785,answer__q_7711385eb421_No,1,0,answer,q_7711385eb421,Does the game advocate committing acts of terrorism?,single,No,510
sample_1288,7+,7+,12+,0.4036711817926366,0.513788455327998,answer__q_7711385eb421_No,1,0,answer,q_7711385eb421,Does the game advocate committing acts of terrorism?,single,No,510
sample_1226,3+,16+,3+,0.4667786026311613,0.5551914364962361,answer__q_7711385eb421_No,1,0,answer,q_7711385eb421,Does the game advocate committing acts of terrorism?,single,No,510
sample_1288,7+,7+,12+,0.4036711817926366,0.4793866582854992,answer__q_94281255eeea_No,0,1,answer,q_94281255eeea,"Does the app include cash rewards, gift cards, play-to-earn features, convertible cryptocurrency rewards, or the issuance of transferable digital assets (e.g., NFTs)?",single,No,469
sample_1288,7+,7+,12+,0.4036711817926366,0.4907915472179443,answer__q_93e10cb84a82_No,0,1,answer,q_93e10cb84a82,"Does the app permit the public sharing of real-world, graphic violence outside of a newsworthy context?",single,No,250
sample_0181,16+,16+,18+,0.5000948677385612,0.5087152319624071,answer__q_cadf78f7f22c_Yes,0,1,answer,q_cadf78f7f22c,"Does the app permit the public sharing of real-world, graphic violence outside of a newsworthy context?",single,Yes,249
sample_1285,12+,12+,18+,0.9482080249841442,0.5117975853780791,answer__q_cadf78f7f22c_Yes,0,1,answer,q_cadf78f7f22c,"Does the app permit the public sharing of real-world, graphic violence outside of a newsworthy context?",single,Yes,249
sample_1117,12+,12+,18+,0.9738896417971644,0.5118357203043328,answer__q_cadf78f7f22c_Yes,0,1,answer,q_cadf78f7f22c,"Does the app permit the public sharing of real-world, graphic violence outside of a newsworthy context?",single,Yes,249
sample_1266,12+,12+,18+,0.9145373181896791,0.8717393077713296,answer__q_cadf78f7f22c_Yes,0,1,answer,q_cadf78f7f22c,"Does the app permit the public sharing of real-world, graphic violence outside of a newsworthy context?",single,Yes,249
sample_0181,16+,16+,18+,0.5000948677385612,0.5413763245574909,answer__q_4bc85050df07_Yes,0,1,answer,q_4bc85050df07,Are these crimes or criminal techniques likely to be imitated by children or youths?,single,Yes,235
sample_1226,3+,16+,3+,0.4667786026311613,0.4702366695312793,answer__q_4bc85050df07_Yes,0,1,answer,q_4bc85050df07,Are these crimes or criminal techniques likely to be imitated by children or youths?,single,Yes,235
sample_0181,16+,16+,18+,0.5000948677385612,0.9864188272037361,answer__q_507a4755324a_Yes,0,1,answer,q_507a4755324a,"Does the app focus on promoting or selling items or activities that are typically age-restricted such as cigarettes, alcohol, firearms, or gambling?",single,Yes,469
sample_1285,12+,12+,18+,0.9482080249841442,0.9693761319744705,answer__q_507a4755324a_Yes,0,1,answer,q_507a4755324a,"Does the app focus on promoting or selling items or activities that are typically age-restricted such as cigarettes, alcohol, firearms, or gambling?",single,Yes,469
sample_1117,12+,12+,18+,0.9738896417971644,0.9038362653954124,answer__q_507a4755324a_Yes,0,1,answer,q_507a4755324a,"Does the app focus on promoting or selling items or activities that are typically age-restricted such as cigarettes, alcohol, firearms, or gambling?",single,Yes,469
sample_0533,12+,12+,18+,0.9859009614328162,0.8499448962797282,answer__q_507a4755324a_Yes,0,1,answer,q_507a4755324a,"Does the app focus on promoting or selling items or activities that are typically age-restricted such as cigarettes, alcohol, firearms, or gambling?",single,Yes,469
sample_0677,16+,16+,18+,0.7994474806445083,0.9875754360720027,answer__q_507a4755324a_Yes,0,1,answer,q_507a4755324a,"Does the app focus on promoting or selling items or activities that are typically age-restricted such as cigarettes, alcohol, firearms, or gambling?",single,Yes,469
sample_1288,7+,7+,12+,0.4036711817926366,0.4246757104190489,answer__q_6c31394cbc39_No,0,1,answer,q_6c31394cbc39,Does the app permit the public sharing of nudity?,single,No,250
sample_0181,16+,16+,18+,0.5000948677385612,0.48185423525038007,answer__q_5cc1024ee5fb_No,0,1,answer,q_5cc1024ee5fb,Does the app allow users to purchase digital goods?,single,No,343
sample_1188,3+,3+,18+,0.9924541821028022,0.6986810369596566,answer__q_94281255eeea_Yes,0,1,answer,q_94281255eeea,"Does the app include cash rewards, gift cards, play-to-earn features, convertible cryptocurrency rewards, or the issuance of transferable digital assets (e.g., NFTs)?",single,Yes,469
sample_0997,18+,18+,16+,0.9980281521116373,0.4532701332141988,answer__q_94281255eeea_Yes,1,0,answer,q_94281255eeea,"Does the app include cash rewards, gift cards, play-to-earn features, convertible cryptocurrency rewards, or the issuance of transferable digital assets (e.g., NFTs)?",single,Yes,469
sample_0181,16+,16+,18+,0.5000948677385612,0.9956417045322193,answer__q_94281255eeea_Yes,0,1,answer,q_94281255eeea,"Does the app include cash rewards, gift cards, play-to-earn features, convertible cryptocurrency rewards, or the issuance of transferable digital assets (e.g., NFTs)?",single,Yes,469
sample_1285,12+,12+,18+,0.9482080249841442,0.9629950560403384,answer__q_94281255eeea_Yes,0,1,answer,q_94281255eeea,"Does the app include cash rewards, gift cards, play-to-earn features, convertible cryptocurrency rewards, or the issuance of transferable digital assets (e.g., NFTs)?",single,Yes,469
sample_1117,12+,12+,18+,0.9738896417971644,0.9016974996777432,answer__q_94281255eeea_Yes,0,1,answer,q_94281255eeea,"Does the app include cash rewards, gift cards, play-to-earn features, convertible cryptocurrency rewards, or the issuance of transferable digital assets (e.g., NFTs)?",single,Yes,469
sample_0693,12+,12+,18+,0.999270356100452,0.5447930760031131,answer__q_fa879063695d_Yes,0,1,answer,q_fa879063695d,Is a significant portion of the app used to connect people for the purposes of dating or sexual relationships or endeavors?,single,Yes,250
sample_1305,12+,12+,18+,0.9963013414867382,0.9616700791487981,answer__q_fa879063695d_Yes,0,1,answer,q_fa879063695d,Is a significant portion of the app used to connect people for the purposes of dating or sexual relationships or endeavors?,single,Yes,250
sample_0104,12+,12+,18+,0.9992453364917894,0.5091747210640928,answer__q_fa879063695d_Yes,0,1,answer,q_fa879063695d,Is a significant portion of the app used to connect people for the purposes of dating or sexual relationships or endeavors?,single,Yes,250
sample_0112,12+,12+,18+,0.9976506853504311,0.9547733306810666,answer__q_fa879063695d_Yes,0,1,answer,q_fa879063695d,Is a significant portion of the app used to connect people for the purposes of dating or sexual relationships or endeavors?,single,Yes,250
sample_0444,12+,12+,3+,0.9879511592036864,0.7143330173105005,answer__q_fa879063695d_Yes,0,1,answer,q_fa879063695d,Is a significant portion of the app used to connect people for the purposes of dating or sexual relationships or endeavors?,single,Yes,250
sample_0181,16+,16+,18+,0.5000948677385612,0.9862954785163094,answer__q_7711385eb421_Yes,0,1,answer,q_7711385eb421,Does the game advocate committing acts of terrorism?,single,Yes,510
sample_1285,12+,12+,18+,0.9482080249841442,0.7670772640140865,answer__q_7711385eb421_Yes,0,1,answer,q_7711385eb421,Does the game advocate committing acts of terrorism?,single,Yes,510
sample_1117,12+,12+,18+,0.9738896417971644,0.5437943208828192,answer__q_7711385eb421_Yes,0,1,answer,q_7711385eb421,Does the game advocate committing acts of terrorism?,single,Yes,510
sample_0533,12+,12+,18+,0.9859009614328162,0.5313318203405852,answer__q_7711385eb421_Yes,0,1,answer,q_7711385eb421,Does the game advocate committing acts of terrorism?,single,Yes,510
sample_0677,16+,16+,18+,0.7994474806445083,0.9561070300560466,answer__q_7711385eb421_Yes,0,1,answer,q_7711385eb421,Does the game advocate committing acts of terrorism?,single,Yes,510
sample_0638,18+,18+,3+,0.44989749865010764,0.4380783622494839,answer__q_bd5378991a14_No,1,0,answer,q_bd5378991a14,Does the game contain any potentially offensive language? Please note that this question does not refer to user-generated content.,single,No,510
sample_1288,7+,7+,12+,0.4036711817926366,0.6297906789725473,answer__q_bd5378991a14_No,1,0,answer,q_bd5378991a14,Does the game contain any potentially offensive language? Please note that this question does not refer to user-generated content.,single,No,510
sample_0181,16+,16+,18+,0.5000948677385612,0.48988602555311767,answer__q_9146217d2e6e_Act_of_human_defecation_visually_depicted_Flatulence_with_depiction_of_flatulence_cloud_whimsical_depictions_of_feces_poo_coils_vomiting_Mucus_belching_flatu,0,1,answer,q_9146217d2e6e,What bodily functions are used for humorous purposes in the game? Please check all that apply.,multi,"Act of human defecation visually depicted | Flatulence (with depiction of ""flatulence cloud""), whimsical depictions of feces (""poo coils""), vomiting",273
sample_1226,3+,16+,3+,0.4667786026311613,0.4067380703705183,answer__q_9146217d2e6e_Act_of_human_defecation_visually_depicted_Flatulence_with_depiction_of_flatulence_cloud_whimsical_depictions_of_feces_poo_coils_vomiting_Mucus_belching_flatu,0,1,answer,q_9146217d2e6e,What bodily functions are used for humorous purposes in the game? Please check all that apply.,multi,"Act of human defecation visually depicted | Flatulence (with depiction of ""flatulence cloud""), whimsical depictions of feces (""poo coils""), vomiting",273
sample_0181,16+,16+,18+,0.5000948677385612,0.9685713579485824,answer__q_077c2b7ce4bb_Yes,0,1,answer,q_077c2b7ce4bb,Is this the primary focus of the app?,single,Yes,128
sample_1285,12+,12+,18+,0.9482080249841442,0.8290116232231629,answer__q_077c2b7ce4bb_Yes,0,1,answer,q_077c2b7ce4bb,Is this the primary focus of the app?,single,Yes,128
sample_0492,18+,18+,12+,0.8838319949823082,0.9432434882158532,answer__q_077c2b7ce4bb_Yes,1,0,answer,q_077c2b7ce4bb,Is this the primary focus of the app?,single,Yes,128
sample_0677,16+,16+,18+,0.7994474806445083,0.8962479401633304,answer__q_077c2b7ce4bb_Yes,0,1,answer,q_077c2b7ce4bb,Is this the primary focus of the app?,single,Yes,128
sample_1237,12+,12+,18+,0.9753177102645071,0.7226116292942707,answer__q_077c2b7ce4bb_Yes,0,1,answer,q_077c2b7ce4bb,Is this the primary focus of the app?,single,Yes,128
sample_1183,18+,18+,16+,0.8042057927159477,0.6685367191917453,answer__q_e8892e310c69_Purchases_of_digital_goods_Learn_more,0,1,answer,q_e8892e310c69,Please select all that the game includes:,multi,Purchases of digital goods Learn more,251
sample_1226,3+,16+,3+,0.4667786026311613,0.4454468393056625,answer__q_e8892e310c69_Purchases_of_digital_goods_Learn_more,1,0,answer,q_e8892e310c69,Please select all that the game includes:,multi,Purchases of digital goods Learn more,251
sample_0932,16+,18+,16+,0.5047224848691082,0.793767354107098,answer__q_37593604faab_Yes,0,1,answer,q_37593604faab,Can illegal or recreational drugs be referred to through text or spoken about?,single,Yes,119
sample_0638,18+,18+,16+,0.44989749865010764,0.5583790702351231,answer__q_37593604faab_Yes,0,1,answer,q_37593604faab,Can illegal or recreational drugs be referred to through text or spoken about?,single,Yes,119
